,rating,text
38,1.0,"телефон конечно хороший, прошло 2 месяца и он перестал 100 проц. заряжаться, далее
не стал запускаться вообще.. большой экран, достаточно памяти."
39,1.0,"Телефон, скажу вам не очень, да, не тормозит и не зависает, но всё равно много минусов.. Не тормозит и не зависает.. Много лишних приложений, например фейсбук или твиттер, неудобно этими приложениями пользоваться с такого телефона. Слабая батарея, из-за этих приложений. Автоматически отключается. Со звуком тоже проблема, ставлю на самый большой или на самый маленький, без разницы, он автоматически ставит на... Читать полностью"
40,5.0,я купил его не давно за 12990 считаю цену для него отличной но то сколько он стоил на старте продаж была сильно завышена карту памяти тянет на 128 гб отлично мне его заряда хватает на 1.5 суток и не включаю ни каких режимов энэргосбережения очень много времени нахожусь в нете у меня безлимит. Сейчас он стоит своих денег собран качественно напомнил мне нокиа н8. лаунчер от филипс это убожество нет меню всё на рабочих столах
41,5.0,Все мне нравится  в нем дизайн функции камера и работа ОС. Телефон превосходный просто купил его уже как месяц пользуюсь не каких сбоев и зависания работает просто супер у друга тоже такой он же мне и по советовал этих денег он стоит чем тратить бешиные деньги за другие более известные на рынке телефоны только за лаготип а на самом деле они не стоят того во... Читать полностью. Минусов не наблюдал пока играю в игры в танки во многое сам телефон не поднимает и не глючит все хорошо
42,3.0,"Так ничего, можно пользоваться.. красивый, удобный, простой в использовании.. Фонит динамик, батарея быстро садится, хотя не сижу в инете"
43,5.0,"Оптимальное соотношение цены и качества (вместе с чехлом мне обошелся в 11 000) , не знаю где, а у нас такие цены. Но не пожалела!!!. Мне понравился телефон, очень ловкий (может, конечно по сравнению с тем что у меня было), быстрый. Приобрела к нему оригинальный чехол, тоже очень удобная штука, всем рекомендую, не надо открывать, есть на чехле сенсорная панель.. Я бы тоже хотела отметить маленький ресурс батареи."
44,5.0,"За 9 месяцев использования ни разу не пожалела о своем выборе.. Заряда батареи хватает на день - два!Быстрый и удобный, доступная цена.. Временами сильно греется."
45,5.0,"Очень давольна телефоном. Хорошая камера, дизайн, мощный процессор, хорошие характеристики экрана. Камера, экран, процессор, чувствительные сенсоры и многое другое.. Пока не нашла."
46,3.0,Нету.. Экран большой.. Аккумулятор слабый. Игрушки тормозят. Сеть не устойчивая. Нагревается. Тяжелый. Короче одни минусы и я не доволен что приобрел ее.
47,3.0,"Экран крутой, смотреть фильмы и играть в игры очень удобно. Фото снятые на S8 почему то по другому смотрятся на компьютере и iOS (цвета вообще разные) Снятые на iPhone на S8 выглядят так же.  Яркий, сочный аппарат. Задняя панель старая, брать для понтов смысла нет.  Я ждал вторую камеру,... Читать полностью. Большой экран. Новинки новой операционки убрали все плюсы системы андроид по сравнению с iOS.  Корзины больше нет, встроенного радио так же больше нет. Вообще у меня как у инстаграмера давно претензия в связи с отсутствием основных приложений для обработки фото. основной минус это старый дизайн... Читать полностью"
48,1.0,"Никуда не годится.. Один из самых дешевых с двумя симками, но мне не надо этого добра.. Дрянь телефон. По функционалу и не сравнить с моей Нокией 2700 от 2012-го года. Даже PC Suite не поддерживает! Резервную копию не сделать. Номера не загрузить в книгу, только ручками вбивать. В память влезло 2 фотки."
49,4.0,Впечатления что телефон надёжный и не слабый в играх.в общем не хватает только IPS экрана. Сильная сторона этого смартфона это неубиваемость он упал стекло в трещинах а он работает как новый.на остальных китаях сразу смерть наступала а тут как танк! Ещё плюс это его железо все игры от асфальта до мортал комбата на средних а иногда и на максимальных тянет на 8 из 10. Камера днём снимает... Читать полностью. Екран не ips а tft .ночью снимает плохо.мелкие глюки сырая прошивка а так нормально.
50,3.0,"Если честно, то не советую брать. Долго не прослужит.. Купила телефон в 2017 году. Пришел с желтой  полоской внутри телефона, которую никак не убрать. Но в целом работает отлично. Правда задняя камера намного хуже, чем передняя. Заряжается ну очень долго, а заряд садится прямо на глазах, даже если телефон просто лежит без дела.. Во время игры очень сильно шумит аккумулятор и при этом на нагревается."
51,5.0,"AMOLED-экран
Хорошие стереодинамики с поддержкой Dolby Atmos
Неплохая камера с качественной ночной съемкой. Сочный экран на базе AMOLED-матрицы, шикарный для смартфона звук с поддержкой Dolby Atmos, качественная камера с хорошим ночным режимом. Недостаток - средний по всем меркам процессор... впрочем, к чему избыточная производительность?. Средняя производительность
Невысокая максимальная яркость AMOLED-матрицы
Средний аккумулятор
Скользкий корпус"
52,5.0,"Большой объем памяти — 64 ГБ внутренней и 3 ГБ оперативной. Тонкий немаркий корпус. Хорошие камеры — основная и фронтальная. Экран без траурной рамочки. Металлический, со сканером отпечатков и хорошим дисплеем. Стильный, эргономичный. Из недостатков главный - слабая батарея и, как следствие,... Читать полностью. Хорошие камеры
Нескользкий и немаркий металлический корпус
Смартфон тонкий и легкий
Наконец-то нет черной рамки вокруг экрана. Низкая автономность
Нет поддержки карты памяти
Недостаточно насыщенные цвета на экране"
53,5.0,"Красивое, мощное устройство с двумя экранами и отличным звуком. Однако отсутствие 3,5-миллиметрового разъема, слабый аккумулятор, нагрев корпуса и средненькая камера портят впечатления.. Необычный «переливающийся» дизайн Уведомления и подсказки на втором экране Сверхчеткий дисплей с натуральными цветами Мощный звук в наушниках и из динамика Наушники с поддержкой U-Sonic Камера отлично фотографирует днем Высокая производительность Удобная и... Читать полностью. Корпус собирает отпечатки Неудобные клавиши навигации Нет 3,5-миллиметрового разъема для наушников Сканер отпечатков не всегда срабатывает Сильный нагрев корпуса в играх В темноте камера уступает конкурентам Фронтальная камера тоже уступает конкурентам... Читать полностью"
54,5.0,"Отличная камера, невысокая цена! Недостатков не много, но все они существенные: тут далеко не лучшая автономность в классе, айфоноподобный дизайн плюс аппарат греется даже при средней нагрузке.. Одна из лучших флагманских камер
Самый быстрый и точный сканер отпечатков
Быстрая зарядка за 1,5 часа
Удачная эргономика
Металлический корпус
USB Type-C
Качественный экран с хорошей цветопередачей
Двойной зум лучше, чем у iPhone. Выглядит как iPhone
Нет защиты от воды и пыли
Греется под нагрузкой
Средняя автономность
Гибридный слот для SIM"
55,5.0,"Симпатичный узнаваемый дизайн (пусть и без особых изысков), стабильный и быстрый интерфейс и качественный экран. В целом, если у вас невысокие требования к камере и ёмкости батарейки, он вам отлично подойдет.. Высокое качество сборки и материалов
Быстрый сканер отпечатков пальцев
Четкий дисплей
Качественное олеофобное покрытие. Средняя камера
Маркий и скользкий корпус
Комбинированный слот"
56,5.0,"Большой смартфон с емкой батареей, слабым процессором и вторичным дизайном. У него нет никаких уникальных особенностей, которые бы выделяли его на фоне конкурентов. Lenovo K6 Note подойдет тем, кто по каким-либо причинам не доверяет другим китайским компаниям. В таком случае выбор смартфона будет... Читать полностью. Яркий экран
Отличная автономность. Слабый процессор
Медленная и перегруженная оболочка
Вторичный внешний вид
Отсутствие NFC
Тихий звук в наушниках"
